Categoria;Item;Fornecedor;Tipo;Unidade;Custo ref (USD);Custo real (preencher);Creditos (1=1 imagem);Gasto atual/mes (USD);Onde no codigo;Observacoes
# === IA :: GERACAO DE IMAGEM (fal.ai) ===;;;;;;;;;;Verificar precos exatos em fal.ai/pricing
IA Imagem;Nano Banana (gemini-25-flash-image);fal.ai;Variavel;por imagem;0,039;;1;;_image.js (DEFAULT_MODEL);Modelo padrao de geracao
IA Imagem;Flux dev (flux/dev);fal.ai;Variavel;por imagem;0,025;;1;;_image.js IMAGE_MODELS;Mais barato
IA Imagem;Flux Pro v1.1 (flux-pro/v1.1);fal.ai;Variavel;por imagem;0,05;;1;;_image.js IMAGE_MODELS;
IA Imagem;Ideogram v2 (ideogram/v2);fal.ai;Variavel;por imagem;0,08;;2;;_image.js IMAGE_MODELS;Forte em texto/tipografia
IA Imagem;Recraft v3 (recraft-v3);fal.ai;Variavel;por imagem;0,04;;1;;_image.js IMAGE_MODELS;
# === IA :: APPS DE IMAGEM (fal.ai) ===;;;;;;;;;;
IA App;Upscale (clarity-upscaler);fal.ai;Variavel;por imagem;0,04;;1;;studio-edit.js OPS.upscale;Custo varia por megapixel
IA App;Remove BG (birefnet);fal.ai;Variavel;por imagem;0,02;;1;;studio-edit.js OPS.removebg;
IA App;Variacao (gemini-25-flash-image/edit);fal.ai;Variavel;por imagem;0,039;;1;;studio-edit.js OPS.variation;
# === IA :: VIDEO (fal.ai) [FUTURO] ===;;;;;;;;;;Definir quais modelos liberar por tier
IA Video;Kling / Seedance (basico);fal.ai;Variavel;por clipe;0,30;;8;;(a implementar);Risco de margem - tabelar por modelo
IA Video;Qualidade media (clipe maior);fal.ai;Variavel;por clipe;0,50;;13;;(a implementar);
IA Video;Premium (Veo / alta qualidade);fal.ai;Variavel;por clipe;1,20;;30;;(a implementar);
# === IA :: LLM (Anthropic Claude) ===;;;;;;;;;;Preco por 1M tokens (input / output)
IA LLM;Claude Haiku 4.5 - input;Anthropic;Variavel;por 1M tokens in;1,00;;;;_ai.js MODELS.fast;Content Hub (fast) / dev
IA LLM;Claude Haiku 4.5 - output;Anthropic;Variavel;por 1M tokens out;5,00;;;;_ai.js MODELS.fast;
IA LLM;Claude Sonnet 4.5 - input;Anthropic;Variavel;por 1M tokens in;3,00;;;;_ai.js MODELS.medium;Usado em dev (timeout 30s)
IA LLM;Claude Sonnet 4.5 - output;Anthropic;Variavel;por 1M tokens out;15,00;;;;_ai.js MODELS.medium;
IA LLM;Claude Sonnet 4.6 - input;Anthropic;Variavel;por 1M tokens in;3,00;;;;_ai.js MODELS.smart;Producao: diagnostico/listening/content/assistant
IA LLM;Claude Sonnet 4.6 - output;Anthropic;Variavel;por 1M tokens out;15,00;;;;_ai.js MODELS.smart;
IA LLM;Claude Opus 4.7 - input;Anthropic;Variavel;por 1M tokens in;5,00;;;;_ai.js MODELS.opus;Extracao de manual PDF
IA LLM;Claude Opus 4.7 - output;Anthropic;Variavel;por 1M tokens out;25,00;;;;_ai.js MODELS.opus;
# === IA :: WEB SEARCH (Anthropic) ===;;;;;;;;;;
IA Web Search;Web search tool;Anthropic;Variavel;por 1000 buscas;10,00;;;;_ai.js TOOLS.webSearch;Usado em diagnostico e listening
# === IA :: EMBEDDINGS (Voyage) ===;;;;;;;;;;
IA Embeddings;voyage-3;Voyage AI;Variavel;por 1M tokens;0,06;;;20,00;brand-book-embed-background.js / brand-book-search.js;RAG do brand book. Voyage hoje ~20/mes
# === INFRAESTRUTURA (FIXO MENSAL) ===;;;;;;;;;;Diluido entre todos os clientes
Infra;Supabase (DB + Auth + pgvector + storage);Supabase;Fixo;por mes;25,00;;;20,00;SUPABASE_URL / SUPABASE_SERVICE_KEY;Tier atual ~20/mes. Sobe com compute/storage
